active,angle,s0,s1,s2,s3,s4,line_position
False,82.361,0,0,0,0,0,0
False,81.044,0,0,0,0,0,0
False,79.78,0,0,0,0,0,0
False,78.536,0,0,0,0,0,0
False,77.244,0,0,0,0,0,0
False,75.807,0,0,0,0,0,0
False,74.154,0,0,0,0,0,0
False,72.267,0,0,0,0,0,0
False,70.175,0,0,0,0,0,0
False,67.908,0,0,0,0,0,0
False,65.539,0,0,0,0,0,0
False,63.079,0,0,0,0,0,0
False,60.513,0,0,0,0,0,0
False,57.952,0,0,0,0,0,0
False,55.68,0,0,0,0,0,0
False,53.675,0,0,0,0,0,0
False,51.894,0,0,0,0,0,0
False,50.481,0,0,0,0,0,0
False,49.049,0,0,0,0,0,0
False,47.31,0,0,0,0,0,0
False,45.083,0,0,0,0,0,0
False,42.483,0,0,0,0,0,0
False,40.087,0,0,0,0,0,0
False,37.996,0,0,0,0,0,0
False,36.061,0,0,0,0,0,0
False,34.264,0,0,0,0,0,0
False,32.427,0,0,0,0,0,0
False,30.335,0,0,0,0,0,0
True,28.082,0,0,0,0,0,0
True,25.731,0,0,0,0,0,0
True,23.372,0,0,0,0,0,0
True,20.832,0,0,0,0,0,0
True,18.455,0,0,0,0,0,0
True,16.46,0,0,0,0,0,0
True,15.314,0,0,0,0,0,0
True,14.806,0,0,0,0,0,0
True,14.636,0,0,0,0,0,0
True,14.562,0,0,0,0,0,0
True,14.43,0,0,0,0,0,0
True,14.329,0,0,0,0,0,0
True,14.193,0,0,28,0,0,0.0
True,13.525,0,0,208,0,0,0.0
True,13.049,0,0,344,0,0,0.0
True,12.569,0,0,524,0,0,0.0
True,12.083,0,0,672,4,132,0.3316831683168317
True,11.705,0,0,732,64,248,0.5363984674329502
True,11.336,0,148,848,272,332,0.49250000000000005
True,11.091,232,392,996,516,516,0.4638069705093834
True,10.729,416,448,1060,580,580,0.4581673306772908
True,10.22,576,472,1088,636,608,0.22352941176470587
True,9.513,632,532,1116,660,660,0.1957446808510638
True,8.622,576,544,1120,640,640,0.2799999999999999
True,7.572,572,604,1148,668,696,0.3768115942028986
True,6.807,628,628,1176,688,720,0.3485714285714286
True,6.102,636,636,1176,696,728,0.35260115606936415
True,5.563,720,656,1200,688,752,0.13043478260869568
True,5.177,780,624,1148,656,748,-0.03827751196172248
True,4.921,780,656,1140,720,720,-0.0760869565217391
True,4.568,780,684,1140,748,720,-0.08588957055214723
True,4.449,720,688,1148,752,752,0.20645161290322578
True,4.39,720,688,1140,780,720,0.15131578947368418
True,4.504,720,688,1140,752,720,0.1103448275862069
True,4.7,728,664,1116,728,696,0.0
True,4.948,720,656,1112,720,720,0.09876543209876543
True,5.256,724,660,1112,724,692,0.0
True,5.653,696,664,1116,728,696,0.1103448275862069
True,6.153,692,660,1112,724,692,0.1103448275862069
True,6.719,660,628,1120,784,660,0.21910112359550563
True,7.151,660,628,1112,752,660,0.1845238095238095
True,7.436,664,600,1088,692,632,0.04142011834319525
True,7.66,660,596,1116,692,628,0.0449438202247191
True,7.952,632,568,1084,664,632,0.1297297297297297
True,8.344,632,568,1088,664,600,0.0449438202247191
True,8.767,632,568,1060,664,604,0.05813953488372091
True,8.911,540,572,1056,724,572,0.28272251308900526
True,9.157,540,572,1060,724,604,0.35000000000000003
True,9.595,476,572,1000,664,572,0.3141592920353982
True,10.106,448,544,996,636,512,0.2455357142857143
True,10.7,416,512,972,604,480,0.2433628318584071
True,11.158,388,484,972,576,452,0.23605150214592277
True,11.543,380,444,928,536,412,0.19499999999999998
True,11.808,392,424,944,548,424,0.24352331606217614
True,12.06,384,424,964,544,384,0.15384615384615385
True,12.443,264,424,944,516,360,0.23905723905723905
True,12.588,284,412,936,512,380,0.2644927536231884
True,12.837,268,424,936,488,332,0.17328519855595667
True,13.155,236,396,912,456,300,0.16785714285714284
True,13.449,200,396,904,456,300,0.20700636942675163
True,13.654,172,364,904,456,268,0.21779141104294478
True,13.755,176,368,884,460,272,0.22187500000000002
True,13.681,176,368,880,460,276,0.22812500000000002
True,13.441,176,368,908,460,304,0.26047904191616766
True,13.048,232,388,908,488,328,0.2466216216216216
True,12.527,264,424,936,548,364,0.26644736842105265
True,11.966,324,484,972,604,420,0.2635135135135135
True,11.535,352,480,1024,604,416,0.22580645161290325
True,11.283,384,512,1000,636,420,0.18992248062015502
True,11.144,352,544,1000,664,448,0.25
True,11.027,376,564,988,656,440,0.19230769230769226
True,11.011,384,572,972,664,480,0.2465277777777777
True,11.007,344,604,964,668,504,0.281524926686217
True,10.993,372,564,1020,716,468,0.26875
True,10.986,340,568,992,660,568,0.3837535014005602
True,10.906,340,632,1024,664,540,0.28800000000000003
True,10.87,312,692,1060,692,536,0.25866050808314084
True,10.785,220,672,1088,672,544,0.30916030534351147
True,10.682,272,692,1112,752,532,0.29000000000000004
True,10.586,236,728,1144,696,524,0.2532588454376164
True,10.544,168,744,1132,712,464,0.23529411764705882
True,10.497,172,748,1140,812,404,0.21854304635761587
True,10.517,144,752,1172,720,368,0.1707717569786535
True,10.591,72,772,1192,712,336,0.17180616740088106
True,10.653,68,704,1156,768,268,0.17682926829268292
True,10.519,12,692,1176,784,180,0.153735632183908
True,10.332,12,712,1104,776,12,0.02503912363067289
True,10.3,80,708,1140,800,48,0.011041009463722407
True,10.328,164,648,1132,832,68,-0.003194888178913714
True,10.323,204,644,1096,768,40,-0.07993730407523507
True,10.359,276,588,1108,772,12,-0.1275964391691395
True,10.27,264,612,1124,768,0,-0.134393063583815
True,10.178,304,616,1100,740,8,-0.17155425219941356
True,10.127,340,652,1140,744,52,-0.18140929535232392
True,9.868,340,620,1160,652,108,-0.1846153846153846
True,9.605,340,684,1168,592,180,-0.19961240310077527
True,9.233,392,644,1176,644,232,-0.1659751037344398
True,8.854,404,620,1192,652,308,-0.09779951100244497
True,8.551,496,620,1220,712,360,-0.1119402985074627
True,8.289,424,612,1288,736,328,-0.03890160183066363
True,8.162,484,580,1244,792,252,-0.12045889101338432
True,8.119,448,700,1280,800,384,-0.016548463356973995
True,8.167,440,728,1308,852,440,0.07908163265306123
True,8.306,480,700,1312,884,404,0.01818181818181821
True,8.42,420,620,1316,896,388,0.12470588235294117
True,8.543,420,608,1288,856,348,0.05842696629213483
True,8.582,520,548,1280,800,324,-0.0755939524838013
True,8.485,580,580,1256,660,352,-0.22541966426858512
True,8.428,620,680,1256,416,384,-0.5125348189415042
