raw_mag_x,raw_mag_y,raw_mag_z,raw_acc_x,raw_acc_y,raw_acc_z
-630,2719,2982,4301,-5751,-9801
-1095,2860,2434,1168,-15066,-10349
-1240,3005,1908,4419,-13347,-4804
-1684,3039,975,8305,-11891,-916
-1748,2487,-533,4653,-9954,9874
-1248,1646,-1290,765,-6020,18976
-757,539,-1424,-660,771,17912
-282,20,-1394,380,-4945,16662
-257,-36,-1334,2671,569,12007
-92,-204,-1287,-3919,3010,19521
310,-592,-1065,-1621,3695,18485
-38,-522,-1132,859,-550,21567
-657,-394,-1184,-169,3427,2258
-80,-1592,-140,6264,15123,9215
-125,-2180,1983,8593,9306,-3429
-85,-1319,3564,12673,7939,-15482
672,-1105,3985,11068,11624,-12899
939,-984,4148,7327,5345,-14415
1673,-952,4283,4890,3541,-13922
1671,-902,4330,3488,1272,-18839
1218,-396,4465,3569,-1680,-18126
1009,768,4528,1472,-8510,-10537
763,1619,4243,-760,-13094,-9336
845,2616,3726,-4980,-17339,-3595
938,3409,2522,-6640,-12295,5569
702,3584,1123,-2676,-4689,7149
1048,3035,-142,-8044,-2932,15305
1810,1738,-824,-6070,2491,5051
1883,201,-940,-5547,11192,4770
2076,-1351,-114,-15884,17494,-644
2810,-1847,1144,-7980,20530,-5191
2938,-2001,1390,-6457,14473,-11399
3495,-1755,1801,-759,16870,-6237
3774,-1629,2305,-3230,13854,-7529
2417,-2325,2483,3590,22769,-7375
2062,-2312,2841,2232,15535,-18204
953,-2068,3360,-717,17598,-10580
-1671,-404,2977,32732,-25375,-7720
-1696,-428,2990,9169,6715,-2075
-312,-928,3739,-491,1903,-10150
2007,-746,4440,-809,-6992,-13522
1887,-1011,4319,4674,3353,-14164
1866,-1009,4315,1041,3031,-15698
1868,-1013,4271,1176,2134,-13690
1775,-1181,4221,512,2197,-14936
1847,-1201,4238,1382,2398,-18060
1801,-1087,4241,1336,3590,-15660
1878,-1121,4299,1245,4073,-15752
1834,-1146,4253,631,7115,-16720
1687,-993,4396,4104,2417,-18858
1407,-583,4482,3190,186,-18528
1290,-588,4450,3470,3457,-15049
142,-1193,3768,6520,2845,-10505
-382,-1330,3407,5084,2501,-14387
-316,-1474,3305,5909,8714,-14097
-703,-2000,2057,5875,6998,-2994
-858,-1749,173,6873,18374,5072
-1091,-570,-980,6339,4834,21720
-1604,413,-1235,7320,9519,11300
-1414,623,-1291,6207,8796,15026
-1224,408,-1299,5588,7580,14755
-990,222,-1343,3972,12780,17771
-1267,193,-1295,7664,7192,12270
-1556,-71,-972,8129,8796,6096
-1947,-1253,642,12286,8127,-4202
-2296,-637,2099,13015,-1467,-8548
-2503,657,2326,13040,-8935,-2579
-2650,1290,1925,13115,-9296,841
-2753,1350,1708,14597,-6404,2040
-2782,1283,1751,13999,-14623,10077
-2767,1400,1656,15765,-1276,-1620
-2671,2114,1032,9406,-12951,10759
-2196,2735,1037,6175,-13195,9452
-1684,3088,472,7020,-5788,16529
-1455,2934,-172,5568,-7383,16647
-1554,2729,-451,4465,-9961,15612
-1760,2508,-577,8224,-1354,18349
-1823,2398,-630,8637,-11021,4978
-2108,1166,-1031,12317,5833,13014
-2293,-104,-623,13339,8462,3508
-2454,-571,255,13845,7496,-8781
-2294,-950,664,12870,8030,-10064
-2080,-1154,1401,13830,4836,-6183
-1771,-1117,2199,12625,1744,-7978
-1445,-535,3159,12094,691,-6706
-468,343,3979,9263,-4620,-10603
-28,849,4182,6754,-8300,-11586
-371,1168,4001,14717,-4466,-17968
-355,1582,3909,12638,-3991,-12789
-451,2486,3254,10818,-9122,-5660
-1017,2954,2577,9446,-15027,431
-1105,3235,1862,7659,-13056,6824
-1348,3285,1104,10474,-5564,7682
-1818,3025,1008,9984,-10511,6505
-1725,3093,794,11215,-11521,7369
-2080,2773,356,10063,-10853,-445
-2540,1083,-694,14350,7053,-967
-2494,-290,-140,12655,12642,-5985
-2296,-1034,744,13333,9416,-5321
-2074,-1085,1765,13104,8458,-8547
-1886,-570,2607,10934,1999,-10294
-2017,3,2775,9576,-2265,-14708
-2312,910,2582,12216,-6849,-6751
-2624,1219,1948,9223,-13421,-2322
-2880,1191,1622,9107,-10264,-5280
-3043,1000,983,15948,-4494,-874
-3006,1277,940,17179,-4589,2497
-2695,2054,1225,8147,-12435,-2246
-2420,2445,1351,8890,-15761,-721
-2461,2394,1025,6358,-14367,879
-2869,1826,578,18116,-515,7751
-3002,1483,314,11663,-6675,7879
-2958,751,-90,12019,6847,10312
-2813,215,-164,9495,7455,12607
-2700,-169,-67,10843,6340,10509
-2458,-647,62,8541,13174,24931
-2434,-841,649,8561,10198,6640
-2348,-914,1463,7316,11590,-483
-1925,-1078,2177,6259,14996,-10032
-1925,-1078,2177,5568,15181,-10622
-1815,-953,2428,7378,9929,-5904
-2139,-354,2434,4892,1569,-7133
-1780,409,3118,4815,-1156,-21160
-1083,987,3599,5895,-9353,-23753
-1074,1293,3572,3902,-6387,-15848
-1678,2006,2760,6185,-7154,-13316
-2255,2391,1713,10230,-12187,6601
-2551,2300,309,12783,-15668,-998
-2594,1969,-279,7876,-10531,11170
-2117,1465,-917,8074,-11393,16941
-2011,1003,-1106,8342,-3732,16844
-2144,190,-888,8310,1182,12189
-1907,-565,-691,5525,12355,18723
-1482,-1154,-336,6386,2611,17783
-1464,-1254,-211,6723,10434,12776
-1753,-1298,213,9915,3812,-2181
-2188,-1137,735,9549,68,14628
-2143,-1192,974,8646,13631,6722
-1879,-1288,1717,9276,9547,4131
-1690,-1250,2163,8987,12804,-1769
-1305,-762,3212,14915,23132,-3455
-996,-197,3676,6505,6123,-8245
-459,658,4034,2739,-97,-17834
157,976,4280,1944,6035,-18125
252,1531,4132,2484,-1230,-13158
6,1877,3939,5810,2584,-17068
-101,2204,3719,5159,-6804,-15137
-257,2535,3443,4832,-7582,-13428
-440,2902,2925,8841,-8615,-8368
-363,3142,2639,10652,-9317,-6632
-110,3311,2459,5375,-12969,-6812
402,3472,2258,6004,-16845,-1386
773,3546,1898,4798,-15731,-4570
707,3659,1475,7597,-14556,-701
463,3611,973,6922,-12481,1287
35,3430,166,5383,-15833,7012
149,3103,-418,5224,-9180,10414
480,2623,-811,6920,-3817,15777
662,2244,-1019,4225,-4684,18303
833,1945,-1170,5878,-1286,13950
705,1567,-1309,5496,-2543,14495
825,1151,-1415,3892,117,13577
1006,614,-1337,2466,2670,12845
1237,90,-1206,2378,8347,15243
1716,-393,-891,-593,13117,15004
2051,-534,-679,-1791,8386,8506
1836,-563,-753,1475,18990,10126
2225,-698,-515,-3092,9166,15947
2183,-918,-352,-121,12134,13694
1961,-1267,-283,-30,13042,6360
1567,-1589,-75,3831,15604,2550
1350,-1871,109,4615,13505,5011
1145,-2135,528,2619,14835,2167
1131,-2327,972,3885,13167,-4753
681,-2382,1966,6614,13126,-10652
271,-2003,2956,6299,6942,-10261
-253,-1395,3440,5750,3846,-18394
-811,-563,3593,3573,104,-18574
-1477,117,3278,4689,-2524,-16204
-2025,774,2846,5678,-3943,-15008
-2319,1341,2440,4457,-8660,-7648
-2120,1729,2496,10126,-1137,-11950
-1556,2264,2737,7506,-5146,-12546
-1035,2675,2784,5397,-6037,-16304
-631,2942,2674,5419,-8232,-15293
-250,3110,2635,3456,-11431,-11009
111,3218,2638,4614,-11231,-6213
312,3251,2654,6529,-12037,-12685
555,3204,2798,7355,-13002,-4449
703,3220,2674,6671,-14612,-4853
368,3359,2331,6500,-15739,-5582
109,3508,1711,4183,-13873,4147
-13,3573,1158,2799,-14019,5756
189,3511,624,-1961,-14921,12456
101,3237,-42,1955,-9029,14780
-646,2622,-862,6531,-3707,12788
-885,1889,-1290,4392,-170,15853
-820,991,-1511,4265,5949,11225
-444,-142,-1390,3956,14750,9857
-129,-1134,-853,3969,14229,5467
-158,-1788,-195,3889,17525,53
-227,-2073,531,5259,15694,-353
-909,-1820,413,10313,13212,-1438
-1472,-1675,907,11046,10138,-6375
-2277,-853,1288,13780,3459,-6745
-2760,-45,1182,12552,-1498,-6864
-2952,731,1005,11064,-4722,-2074
-2908,1544,716,9045,-13812,1021
-2683,2164,705,8799,-15514,3571
-2462,2480,783,9250,-15744,-1199
-2521,2466,581,9743,-11835,5270
-2317,2481,52,7405,-10057,10999
-1866,2737,-219,3754,-11958,14294
-1707,3004,259,1470,-16135,2821
-1504,3197,652,1282,-20146,3503
-1652,3061,353,551,-15088,10897
-1961,2727,8,2061,-15370,6847
-2389,2159,-270,7199,-14792,3776
-2183,1418,-946,9258,-10086,10187
