raw_mag_x,raw_mag_y,raw_mag_z
-2805,379,-1590
-2805,379,-1590
-2805,379,-1590
-2805,379,-1590
-2805,379,-1590
-2805,379,-1590
-2180,-228,-1985
-2180,-228,-1985
-2180,-228,-1985
-2180,-228,-1985
-2180,-228,-1985
-2180,-228,-1985
-2180,-228,-1985
-2105,-976,-2095
-2105,-976,-2095
-2105,-976,-2095
-2105,-976,-2095
-2105,-976,-2095
-2105,-976,-2095
-2105,-976,-2095
-1984,-1749,-1990
-1984,-1749,-1990
-1984,-1749,-1990
-1984,-1749,-1990
-1984,-1749,-1990
-1984,-1749,-1990
-1984,-1749,-1990
-1348,-2068,-1413
-1348,-2068,-1413
-1348,-2068,-1413
-1348,-2068,-1413
-1348,-2068,-1413
-1348,-2068,-1413
-1348,-2068,-1413
-978,-2255,-1859
-978,-2255,-1859
-978,-2255,-1859
-978,-2255,-1859
-978,-2255,-1859
-978,-2255,-1859
-978,-2255,-1859
-862,-2075,-1934
-862,-2075,-1934
-862,-2075,-1934
-862,-2075,-1934
-862,-2075,-1934
-862,-2075,-1934
-862,-2075,-1934
-905,-1792,-2054
-905,-1792,-2054
-905,-1792,-2054
-905,-1792,-2054
-905,-1792,-2054
-905,-1792,-2054
-905,-1792,-2054
-1056,-1407,-2211
-1056,-1407,-2211
-1056,-1407,-2211
-1056,-1407,-2211
-1056,-1407,-2211
-1056,-1407,-2211
-1056,-1407,-2211
-1308,-1052,-2258
-1308,-1052,-2258
-1308,-1052,-2258
-1308,-1052,-2258
-1308,-1052,-2258
-1308,-1052,-2258
-1308,-1052,-2258
-1199,-450,-2161
-1199,-450,-2161
-1199,-450,-2161
-1199,-450,-2161
-1199,-450,-2161
-1199,-450,-2161
-1199,-450,-2161
-1019,-91,-2018
-1019,-91,-2018
-1019,-91,-2018
-1019,-91,-2018
-1019,-91,-2018
-1019,-91,-2018
-1019,-91,-2018
-478,363,-1825
-478,363,-1825
-478,363,-1825
-478,363,-1825
-478,363,-1825
-478,363,-1825
-478,363,-1825
262,623,-1334
262,623,-1334
262,623,-1334
262,623,-1334
262,623,-1334
262,623,-1334
262,623,-1334
1195,721,-705
1195,721,-705
1195,721,-705
1195,721,-705
1195,721,-705
1195,721,-705
1195,721,-705
1773,886,16
1773,886,16
1773,886,16
1773,886,16
1773,886,16
1773,886,16
1773,886,16
2129,970,996
2129,970,996
2129,970,996
2129,970,996
2129,970,996
2129,970,996
2129,970,996
2140,939,979
2140,939,979
2140,939,979
2140,939,979
2140,939,979
2140,939,979
2140,939,979
2200,942,1120
2200,942,1120
2200,942,1120
2200,942,1120
2200,942,1120
2200,942,1120
2200,942,1120
2200,942,1120
2191,949,1704
2191,949,1704
2191,949,1704
2191,949,1704
2191,949,1704
2191,949,1704
2191,949,1704
2109,936,2111
